country,director,genre,language,rating,runtime,titleC
法国 / 瑞士 / 西班牙 / 美国 / 阿联酋,"雅克·贝汉, 雅克·克鲁奥德",纪录片,法语,9.0,104分钟(法国),海洋 Océans
香港 / 台湾,王家卫,"剧情,动作,爱情,武侠,古装",粤语 / 汉语普通话,8.6,100分钟,东邪西毒 東邪西毒
美国,"彼特·道格特,大卫·斯沃曼,李·昂克里奇","喜剧,动画,儿童,奇幻,冒险",英语,8.6,92 分钟,"怪兽电力公司 Monsters, Inc."
美国,克里斯托弗·诺兰,"剧情,悬疑,惊悚,犯罪",英语,8.5,113分钟,记忆碎片 Memento
美国,巴瑞·莱文森,剧情,英语 / 意大利语,8.6,133分钟,雨人 Rain Man
美国,达伦·阿伦诺夫斯基,"剧情,惊悚",英语 / 法语 / 意大利语,8.5,108分钟,黑天鹅 Black Swan
美国,"柯克·德·米科,克里斯·桑德斯","喜剧,动画,冒险",英语,8.7,98分钟,疯狂原始人 The Croods
英国 / 南非 / 意大利 / 美国,特瑞·乔治,"剧情,历史,战争",英语 / 法语,8.8,121分钟,卢旺达饭店 Hotel Rwanda
美国,爱德华·兹威克,"剧情,爱情,家庭,西部",英语 / 康沃尔语,8.7,133分钟,燃情岁月 Legends of the Fall
法国 / 英国,热拉尔·乌里,"喜剧,战争",法语 / 英语 / 德语,8.9,132分钟,虎口脱险 La grande vadrouille
香港,吴宇森,"动作,犯罪",粤语 / 汉语普通话 / 英语,8.6,95分钟,英雄本色
日本,森淳一,剧情,日语,8.9,120分钟,小森林 冬春篇 リトル・フォレスト 冬・春
韩国,李焕庆,"剧情,喜剧,家庭",韩语,8.6,127分钟,7号房的礼物 7번방의 선물
美国 / 英国,大卫·叶茨,"剧情,悬疑,奇幻,冒险",英语,8.6,130分钟,哈利·波特与死亡圣器(下) Harry Potter and the Deathly Hallows: Part 2
法国 / 英国 / 美国,乔·赖特,"剧情,爱情",英语,8.4,129 分钟,傲慢与偏见 Pride & Prejudice
中国大陆,忻钰坤,"剧情,悬疑,犯罪",汉语普通话,8.6,110分钟(中国大陆),心迷宫
阿根廷 / 西班牙,达米安·斯兹弗隆,"剧情,喜剧,犯罪",西班牙语,8.7,122分钟,荒蛮故事 Relatos salvajes
日本,大森贵弘,"剧情,爱情,动画,奇幻",日语,8.7,45分钟,萤火之森 蛍火の杜へ
美国,尼克·卡萨维茨,"剧情,爱情",英语,8.4,123分钟,恋恋笔记本 The Notebook
美国,克林特·伊斯特伍德,"剧情,犯罪",英语,9.0,138分钟,完美的世界 A Perfect World
美国,弗朗西斯·福特·科波拉,"剧情,犯罪",英语 / 意大利语 / 德语 / 拉丁语,8.8,170分钟,教父3 The Godfather: Part III
美国,肯尼思·洛纳根,"剧情,家庭",英语,8.6,137分钟,海边的曼彻斯特 Manchester by the Sea
香港,吴宇森,"剧情,喜剧,动作,犯罪",粤语 / 汉语普通话 / 客家话 / 英语 / 法语,8.7,108分钟,纵横四海 緃横四海
香港,王家卫,"剧情,爱情",粤语 / 上海话 / 法语,8.5,98 分钟,花样年华 花樣年華
美国,李·昂克里奇,"喜剧,动画,奇幻,冒险",英语 / 西班牙语,8.8,103分钟,玩具总动员3 Toy Story 3
英国,丹尼·博伊尔,"剧情,犯罪",英语,8.5,94分钟,猜火车 Trainspotting
美国,茂文·勒鲁瓦,"剧情,爱情,战争",英语,8.8,108 分钟,魂断蓝桥 Waterloo Bridge
日本,细田守,"剧情,爱情,科幻,动画",日语,8.6,98分钟,穿越时空的少女 時をかける少女
意大利 / 法国 / 巴西 / 美国,卢卡·瓜达尼诺,"剧情,爱情,同性",意大利语 / 法语 / 德语 / 英语,8.7,132分钟,请以你的名字呼唤我 Call Me by Your Name
香港,李力持,"喜剧,爱情,古装",粤语,8.4,102 分钟,唐伯虎点秋香 唐伯虎點秋香
英国,理查德·柯蒂斯,"剧情,爱情,奇幻",英语,8.6,123分钟,时空恋旅人 About Time
美国,"斯坦利·多南,吉恩·凯利","喜剧,爱情,歌舞",英语,8.9,103 分钟,雨中曲 Singin' in the Rain
美国,"唐·霍尔,克里斯·威廉姆斯","喜剧,动作,科幻,动画,冒险",英语,8.6,102分钟,超能陆战队 Big Hero 6
美国 / 英国,克里斯托弗·诺兰,"剧情,动作,科幻,惊悚,犯罪",英语 / 阿拉伯语,8.5,165分钟,蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises
美国,杰茜·尼尔森,"剧情,家庭",英语,8.8,132 分钟,我是山姆 I Am Sam
中国大陆,郭柯,纪录片,汉语普通话,8.7,99分钟(公映版),二十二
美国,史蒂文·斯皮尔伯格,"剧情,科幻,冒险",英语,8.6,146分钟,人工智能 Artificial Intelligence: AI
美国,"卡洛斯·沙尔丹哈,克里斯·韦奇","喜剧,动画,冒险",英语 / 克罗地亚语,8.4,81 分钟,冰川时代 Ice Age
德国,丹尼斯·甘塞尔,"剧情,惊悚",德语,8.7,107 分钟,浪潮 Die Welle
美国 / 德国,史蒂芬·戴德利,"剧情,爱情",英语 / 德语 / 希腊语 / 拉丁语,8.5,124 分钟,朗读者 The Reader
德国 / 法国 / 西班牙 / 美国,汤姆·提克威,"剧情,犯罪,奇幻",英语,8.4,147分钟,香水 Perfume: The Story of a Murderer
美国,达米恩·查泽雷,"剧情,音乐",英语,8.6,107分钟,爆裂鼓手 Whiplash
日本,黑泽明,"剧情,悬疑,犯罪",日语,8.7,88分钟,罗生门 羅生門
日本,今敏,"动画,惊悚,奇幻",日语,8.8,81 分钟,未麻的部屋 Perfect Blue
美国,让-马克·瓦雷,"剧情,同性,传记",英语 / 日语,8.7,117分钟,达拉斯买家俱乐部 Dallas Buyers Club
伊朗 / 法国,阿斯哈·法哈蒂,"剧情,家庭",波斯语,8.7,123分钟,一次别离 جدایی نادر از سیمین
英国,克里斯托弗·诺兰,"悬疑,惊悚,犯罪",英语,8.9,69分钟,追随 Following
香港,王家卫,"剧情,爱情,犯罪",粤语 / 汉语普通话 / 英语 / 菲律宾语 / 上海话,8.5,94分钟,阿飞正传 阿飛正傳
